stringId,EN,KO,ZH_CN,ZH_TW,JA,RU,ES,PT,FR,DE,TH,AR,IT,TR,ID
app.title,PROJECT FLOOD,프로젝트 플러드,,,,,,,,,,,,,
boot.loading,Loading...,로딩 중...,,,,,,,,,,,,,
boot.new_guest_session,Your previous session expired and you have been signed in as a new guest account. Link your account in Settings to keep your progress.,이전 세션이 만료되어 새 게스트 계정으로 로그인되었습니다. 설정에서 계정을 연동하면 진행 데이터를 보호할 수 있습니다.,,,,,,,,,,,,,
common.btn_cancel,Cancel,취소,,,,,,,,,,,,,
common.btn_confirm,Confirm,확인,,,,,,,,,,,,,
common.btn_ok,OK,확인,,,,,,,,,,,,,
common.btn_retry,Retry,다시 시도,,,,,,,,,,,,,
common.btn_next,Next,다음,,,,,,,,,,,,,
common.btn_play,Play,플레이,,,,,,,,,,,,,
common.btn_close,Close,닫기,,,,,,,,,,,,,
common.btn_map,Lobby,로비,,,,,,,,,,,,,
common.settings,Settings,설정,,,,,,,,,,,,,
common.guest,Guest,게스트,,,,,,,,,,,,,
error.network_check,Check your network connection.,네트워크 연결을 확인해 주세요.,,,,,,,,,,,,,
popup.network_error.title,Network Error,네트워크 오류,,,,,,,,,,,,,
popup.reward.title,Reward!,보상!,,,,,,,,,,,,,
popup.relogin.title,Session Expired,세션 만료,,,,,,,,,,,,,
popup.relogin.btn_relogin,Re-login,다시 로그인,,,,,,,,,,,,,
popup.relogin.btn_guest,Continue as Guest,게스트로 계속,,,,,,,,,,,,,
popup.result.title,Stage Clear!,스테이지 클리어!,,,,,,,,,,,,,
popup.fail.title,Just a bit more!,조금만 더!,,,,,,,,,,,,,
popup.fail.btn_continue,Continue,계속하기,,,,,,,,,,,,,
popup.fail.btn_forfeit,Give Up,포기,,,,,,,,,,,,,
popup.pause.title,Paused,일시정지,,,,,,,,,,,,,
popup.pause.btn_resume,Resume,재개,,,,,,,,,,,,,
popup.pause.btn_restart,Restart,처음부터,,,,,,,,,,,,,
popup.pause.btn_stage_select,Stage Select,스테이지 선택,,,,,,,,,,,,,
popup.settings.bgm,BGM,배경음악,,,,,,,,,,,,,
popup.settings.sfx,SFX,효과음,,,,,,,,,,,,,
popup.settings.screen_shake,Screen Shake,화면 흔들림,,,,,,,,,,,,,
popup.settings.account,Account →,계정 →,,,,,,,,,,,,,
popup.account.btn_link,Link Account,계정 연동,,,,,,,,,,,,,
popup.account.btn_switch,Switch Account,계정 전환,,,,,,,,,,,,,
popup.account_restart.title,Game Restart Required,게임 재시작 필요,,,,,,,,,,,,,
popup.account_restart.body,Account changes have been applied. The game will now restart.,계정 변경사항이 적용되었습니다. 게임을 재시작합니다.,,,,,,,,,,,,,
popup.account_restart.confirm,Restart,재시작,,,,,,,,,,,,,
popup.account_conflict.title,Account Data Conflict,계정 데이터 충돌,,,,,,,,,,,,,
popup.account_conflict.body,Your device data and Google account data differ. Choose which data to keep.,현재 기기 데이터와 Google 계정 데이터가 다릅니다. 유지할 데이터를 선택하세요.,,,,,,,,,,,,,
popup.account_conflict.local_label,Current Data,현재 데이터,,,,,,,,,,,,,
popup.account_conflict.cloud_label,Google Account Data,Google 계정 데이터,,,,,,,,,,,,,
popup.account_conflict.stage_fmt,Stage {0},스테이지 {0},,,,,,,,,,,,,
popup.account_conflict.gold_fmt,Gold: {0},골드: {0},,,,,,,,,,,,,
popup.account_conflict.stars_fmt,★ {0},★ {0},,,,,,,,,,,,,
popup.account_conflict.items_fmt,Items: {0},아이템: {0},,,,,,,,,,,,,
popup.account_conflict.btn_keep_local,Keep Current,현재 유지,,,,,,,,,,,,,
popup.account_conflict.btn_keep_cloud,Use Google Data,Google 데이터 사용,,,,,,,,,,,,,
toast.account_already_active,This account is already active.,이미 활성화된 계정입니다.,,,,,,,,,,,,,
popup.stage_info.title,Stage {0},스테이지 {0},,,,,,,,,,,,,
popup.stage_info.best_stars,Best: {0} Stars,최고 기록: 별 {0}개,,,,,,,,,,,,,
popup.stage_info.best_moves,Best: {0} Moves,최고 기록: {0} 이동,,,,,,,,,,,,,
popup.stage_info.no_record,No Record,기록 없음,,,,,,,,,,,,,
popup.result.failed,Stage Failed,스테이지 실패,,,,,,,,,,,,,
popup.result.clear_title,Stage {0} Clear!,스테이지 {0} 클리어!,,,,,,,,,,,,,
popup.result.ratio,Cleared: {0}%,클리어 비율: {0}%,,,,,,,,,,,,,
popup.result.turns,Turns: {0}/{1},턴 수: {0}/{1},,,,,,,,,,,,,
popup.result.rank,Stage Rank: #{0},스테이지 순위: #{0},,,,,,,,,,,,,
popup.result.new_best,New Best,최고 기록 달성,,,,,,,,,,,,,
popup.fail.continue_turns,+{0} Turns,+{0} 턴,,,,,,,,,,,,,
lobby.ranking.stars_title,Star Ranking,스타 랭킹,,,,,,,,,,,,,
lobby.ranking.stage_title,Max Stage Ranking,최고 스테이지 랭킹,,,,,,,,,,,,,
lobby.ranking.my_rank_empty,My Rank: -,내 순위: -,,,,,,,,,,,,,
lobby.ranking.my_rank_format,My Rank: #{0}  ({1}),내 순위: #{0}  ({1}),,,,,,,,,,,,,
lobby.ranking.loading,Loading...,로딩 중...,,,,,,,,,,,,,
lobby.ranking.no_data,No ranking data,랭킹 정보 없음,,,,,,,,,,,,,
lobby.ranking.default_title,Ranking,랭킹,,,,,,,,,,,,,
lobby.ranking.unavailable,Ranking unavailable,랭킹을 이용할 수 없습니다.,,,,,,,,,,,,,
ingame.turns_label,TURNS,남은 턴,,,,,,,,,,,,,
ingame.cells_label,CELLS,셀,,,,,,,,,,,,,
common.btn_claim,Claim,받기,,,,,,,,,,,,,
lobby.ranking.tab_stars,Stars,스타,,,,,,,,,,,,,
lobby.ranking.tab_max_stage,Max Stage,최고 스테이지,,,,,,,,,,,,,
nav.home,Home,홈,,,,,,,,,,,,,
nav.shop,Shop,상점,,,,,,,,,,,,,
nav.ranking,Rank,랭킹,,,,,,,,,,,,,
stamina.max,MAX,MAX,,,,,,,,,,,,,
stamina.next_charge,Next: {0},충전: {0},,,,,,,,,,,,,
popup.stamina.title,Lives,라이프,,,,,,,,,,,,,
popup.stamina.watch_ad,Watch Ad (+1),광고 보기 (+1),,,,,,,,,,,,,
popup.stamina.unlimited,Unlimited: {0},무제한: {0} 남음,,,,,,,,,,,,,
item.name.add_turn,Add Turns,추가 턴,,,,,,,,,,,,,
