resource_key,sprite_path,category,comment
CS,CS,CS,CS
string(64),string(128),string(64),string(128)
PK,NN,NN,
item_bomb,Assets/Sprites/UI/Items/Item_bomb.png,Item,Bomb item icon
item_h_rocket,Assets/Sprites/UI/Items/Item_h_rocket.png,Item,HRocket item icon
item_color_sweep,Assets/Sprites/UI/Items/Item_color_sweep.png,Item,ColorSweep item icon
item_row_shift,Assets/Sprites/UI/Items/Item_row_shift.png,Item,RowShift item icon
item_cell_swap,Assets/Sprites/UI/Items/Item_cell_swap.png,Item,CellSwap item icon
cell_0,Assets/Sprites/Gameplay/Cells/cell_0.png,Cell,Red Cell Sprite
cell_1,Assets/Sprites/Gameplay/Cells/cell_1.png,Cell,Blue Cell Sprite
cell_2,Assets/Sprites/Gameplay/Cells/cell_2.png,Cell,Green Cell Sprite
cell_3,Assets/Sprites/Gameplay/Cells/cell_3.png,Cell,Yellow Cell Sprite
cell_4,Assets/Sprites/Gameplay/Cells/cell_4.png,Cell,Purple Cell Sprite
cell_5,Assets/Sprites/Gameplay/Cells/cell_5.png,Cell,Orange Cell Sprite
cell_6,Assets/Sprites/Gameplay/Cells/cell_6.png,Cell,Cyan Cell Sprite
cell_7,Assets/Sprites/Gameplay/Cells/cell_7.png,Cell,Pink Cell Sprite
cell_8,Assets/Sprites/Gameplay/Cells/cell_8.png,Cell,Brown Cell Sprite
cell_9,Assets/Sprites/Gameplay/Cells/cell_9.png,Cell,Gray Cell Sprite
cell_10,Assets/Sprites/Gameplay/Cells/cell_10.png,Cell,White Cell Sprite
cell_11,Assets/Sprites/Gameplay/Cells/cell_11.png,Cell,Dark Cell Sprite
cell_12,Assets/Sprites/Gameplay/Cells/cell_12.png,Cell,Teal Cell Sprite
cell_13,Assets/Sprites/Gameplay/Cells/cell_13.png,Cell,Gold Cell Sprite
cell_14,Assets/Sprites/Gameplay/Cells/cell_14.png,Cell,Indigo Cell Sprite
cell_15,Assets/Sprites/Gameplay/Cells/cell_15.png,Cell,Crimson Cell Sprite
socket_0,Assets/Sprites/Gameplay/Sockets/socket_0.png,Socket,Red Socket Sprite
socket_1,Assets/Sprites/Gameplay/Sockets/socket_1.png,Socket,Blue Socket Sprite
socket_2,Assets/Sprites/Gameplay/Sockets/socket_2.png,Socket,Green Socket Sprite
socket_3,Assets/Sprites/Gameplay/Sockets/socket_3.png,Socket,Yellow Socket Sprite
socket_4,Assets/Sprites/Gameplay/Sockets/socket_4.png,Socket,Purple Socket Sprite
socket_5,Assets/Sprites/Gameplay/Sockets/socket_5.png,Socket,Orange Socket Sprite
socket_6,Assets/Sprites/Gameplay/Sockets/socket_6.png,Socket,Cyan Socket Sprite
socket_7,Assets/Sprites/Gameplay/Sockets/socket_7.png,Socket,Pink Socket Sprite
socket_8,Assets/Sprites/Gameplay/Sockets/socket_8.png,Socket,Brown Socket Sprite
socket_9,Assets/Sprites/Gameplay/Sockets/socket_9.png,Socket,Gray Socket Sprite
socket_10,Assets/Sprites/Gameplay/Sockets/socket_10.png,Socket,White Socket Sprite
socket_11,Assets/Sprites/Gameplay/Sockets/socket_11.png,Socket,Dark Socket Sprite
socket_12,Assets/Sprites/Gameplay/Sockets/socket_12.png,Socket,Teal Socket Sprite
socket_13,Assets/Sprites/Gameplay/Sockets/socket_13.png,Socket,Gold Socket Sprite
